DISTRICT,COUNTY/MUNICIPALITY,Constituencies,sub county sn,SUBCOUNTY/ TOWN COUNCIL,parish sn,PARISH/TOWN BOARD/WARD,title,Type of Institution,objectid,date,subject,longitude,latitude,GPS Accuracy,GPS longitude from Handheld Device,GPS Latitude from Handheld Device,enrolTOTALt,tclassroom_pri,Func_perm,Non_Func_perm,Teachers,Non_certified staff,format
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,10,NAMIREMBE,MENGO P./S,Primary only,3371,1897,Government aided,32.560832,0.316273,17,32.560832,0.316273,1032,14,14,,22,11,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,16,NSAMBYA CENTRAL,"ST. JOSEPH,NSAMBYA GIRLS' PRIMARY SCHOOL",Primary only,3274,1903,Government aided,,,,32.58505,0.30196,635,12,12,,28,22,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,11,MAKERERE I,MAKERERE PRIMARY SCHOOL,Primary only,999999,1903,Government aided,32.564922,0.339267,13,32.564922,0.339267,600,12,12,,10,8,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,4,LUBAGA,UGANDA MARTYRS P.S - RUBAGA,Primary only,130288,1905,Government aided,32.551805,0.301008,9,32.551805,0.301008,1161,14,14,,39,17,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,4,LUBAGA,QUEEN OF PEACE P.S - LUBAGA,Primary only,3418,1905,Government aided,32.551812,0.304485,3,32.551812,0.304485,1187,19,19,,20,7,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,16,NSAMBYA CENTRAL,ST. PETERS P.S - NSAMBYA,Primary only,3267,1907,Government aided,,,,32.58989,0.30137,3474,33,33,,68,39,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,12,NATEETE,NATEETE MACKAY PRIMARY SCH,Primary only,3410,1907,Government aided,32.53495,0.308612,5,32.53495,0.308612,711,12,12,,18,9,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,8,KIBULI,KIBULI DEMOSTATION SCHOOL,Primary only,3202,1922,Government aided,32.598697,0.309573,7,32.598697,0.309573,772,16,14,2,43,29,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,20,OLD KAMPALA,OLD KAMPALA PRIMARY SCHOOL,Primary only,3116,1932,Government aided,32.566515,0.31697,7,32.566515,0.31697,1019,14,14,,23,12,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,16,NAKASERO II,BUGANDA ROAD PRIMARY SCHOOL,Primary only,3111,1932,Government aided,32.57517,0.322613,8,32.57517,0.322613,2431,28,28,,55,69,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,11,KISUGU,KISUGU COU P.S,Primary only,3209,1935,Government aided,32.604787,0.303377,6,32.604787,0.303377,708,14,14,,15,6,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,15,MAKINDYE II,KIBUYE PRIMARY SCHOOL,Primary only,3262,1936,Government aided,32.583205,0.284707,9,32.583205,0.284707,855,10,5,,17,11,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,7,KAZO ANGOLA,KAWEMPE MUSLIM P.S,Primary only,3167,1936,Government aided,32.555648,0.379368,9,32.555648,0.379368,806,16,16,,14,8,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,12,LUZIRA PRISONS,MURCHISON BAY PRIMARY SCHOOL,Primary only,999999,1938,Government aided,32.643717,0.299637,6,32.643717,0.299637,2460,20,20,,35,8,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,18,NSAMBYA POLICE BARRACKS,POLICE CHILDREN SCHOOL,Primary only,999999,1938,Government aided,32.590945,0.308095,6,32.590945,0.308095,1829,18,18,,31,7,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,17,NAKASERO III,NAKASERO PRIMAY SCHOOL,Primary only,3113,1938,Government aided,32.58316,0.321577,14,32.58316,0.321577,2205,27,27,,46,19,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,5,BUTABIKA,ST. JAMES BBINA P.S,Primary only,130120,1939,Government aided,32.653093,0.309425,6,32.653093,0.309425,1700,17,17,,37,8,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,10,NAMIREMBE,NAMIREMBE INFANT PRIMARY SCHOOL,Primary only,3373,1939,Government aided,32.5614,0.318798,9,32.5614,0.318798,835,14,14,,22,11,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,1,BUSEGA,KCCA MUSLIMS GIRLS PRI SCHOOL,Primary only,3118,1945,Government aided,32.526138,0.31251,7,32.526138,0.31251,347,7,7,,9,3,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,6,KAWEMPE II,KAWEMPE MBOGO P.S,Primary only,999999,1946,Government aided,32.565987,0.364838,6,32.565987,0.364838,679,16,16,,28,7,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,21,NSAMBYA RAILWAY,RAILWAY CHILDREN PRIMARY SCHOOL,Primary only,999999,1947,Government aided,32.585907,0.299687,6,32.585907,0.299687,991,14,14,,19,10,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,5,LUBYA,NAMUNGOONA ORTHODOX,Primary only,3360,1948,Government aided,32.544906,0.337727,10,32.544906,0.337727,470,10,10,,11,3,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,7,MUTUNDWE,KITEBI P/S,Primary only,3394,1950,Government aided,32.546372,0.283437,26,32.546372,0.283437,1487,20,19,1,51,18,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,7,MUTUNDWE,MUTUNDWE C.O.U PRIMARY SCHOOL,Primary only,999999,1950,Government aided,32.53217,0.29221,7,32.53217,0.29221,439,7,7,,6,4,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,1,BWAISE I,BILAL ISLAMIC P.S,Primary only,3126,1950,Private,,,,32.56408,0.3537,656,20,20,,47,17,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,11,LUZIRA,LUZIRA COU PRIMARY SCHOOL,Primary only,999999,1953,Government aided,32.64987,0.301882,15,32.64987,0.301882,952,13,13,,19,7,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,14,MENGO,KYAGGWE ROAD PIMARY,Primary only,3120,1954,Government aided,,,,32.56885,0.30439,395,7,7,,8,4,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,5,BUTABIKA,BBIINA ISLAMIC P.S,Primary only,130119,1954,Government aided,32.651468,0.307913,10,32.651468,0.307913,300,7,7,,8,9,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,17,NAGURU I,ST JUDE PRIMARY SCHOOL NAGGULU,Primary only,999999,1954,Government aided,,,,32.60907,0.33489,980,19,17,2,21,8,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,20,OLD KAMPALA,AGA KHAN PRIMARY SCHOOL,Primary only,3121,1955,Private,32.569603,0.321523,6,32.569603,0.321523,1379,12,12,,69,4,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,10,KOLOLO I,SHIMONI DEMONSTRATION SCHOOL,Primary only,3073,1956,Government aided,,,,32.59888,0.033569,576,14,11,3,14,6,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,17,MULAGO II,ST. MARTIN MULAGO P.S,Primary only,130038,1956,Government aided,32.575355,0.345863,6,32.575355,0.345863,1114,14,14,,24,13,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,8,KIWATULE,MBAAGA TUZINDE PRIMARY SCHOOL,Primary only,999999,1956,Government aided,32.625535,0.365872,9,32.625535,0.365872,529,7,7,,10,5,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,17,NAKASERO III,BAT VALLEY P.S,Primary only,130840,1957,Government aided,32.573583,0.323093,7,32.573583,0.323093,518,28,28,,11,8,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,1,BUSEGA,ST. KIZITO BUSEGA  P.S,Primary only,3381,1958,Private,32.525295,0.305587,4,32.525295,0.305587,231,7,7,,8,5,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,7,KISWA,KISWA P.S,Primary only,3081,1958,Government aided,32.6196,0.320267,10,32.6196,0.320267,1828,19,19,,35,12,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,10,KYANJA,KYANJA MUSLIM SCHOOL,Primary only,3304,1958,Government aided,32.600455,0.394752,6,32.600455,0.394752,326,7,7,,8,3,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,10,KOLOLO I,EAST KOLOLO PRIMARY SCHOOL,Primary only,3095,1959,Government aided,32.599883,0.335888,4,32.599883,0.335888,348,10,7,3,8,3,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,19,SALAAMA,MUNYONYO P.S,Primary only,3276,1960,Government aided,32.61466,0.239763,5,32.61466,0.239763,393,7,7,,9,4,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,19,WANDEGEYA,WANDEGEYA MUSLIM P.S,Primary only,999999,1960,Government aided,32.572768,0.330346,29,32.572768,0.330346,114,8,7,1,7,4,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,5,KAWEMPE I,KAWEMPE C/U P.S,Primary only,3151,1960,Government aided,32.565792,0.379248,13,32.565792,0.379248,656,11,9,2,13,6,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,9,NAJJANANKUMBI II,NAJJANANKUMBI YCS,Primary only,3398,1963,Private,32.566602,0.283137,6,32.566602,0.283137,222,9,9,,14,7,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,5,LUBYA,ST.JOSEPH MAPEERA,Primary only,3358,1963,Government aided,32.545745,0.32513,10,32.545745,0.32513,406,7,7,,11,4,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,13,MAKERERE III,ST. PAUL PREPARATORY SCHOOL,Primary only,999999,1965,Private,32.5695,0.346972,5,32.5695,0.346972,150,7,7,,12,2,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,9,KOMAMBOGA,ST. ANDREW'S P.S,Primary only,130579,1965,Private,32.587532,0.386077,7,32.587532,0.386077,89,7,7,,10,2,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,12,KOLOLO III,KITANTE PRIMARY SCHOOL,Primary only,3101,1968,Government aided,32.58197,0.333872,4,32.58197,0.333872,3508,22,22,,64,30,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,9,KIBUYE I,ST. BENEDICT MAKINDYE P/S,Primary only,3234,1969,Private,32.584852,0.292178,7,32.584852,0.292178,350,7,7,,13,3,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,10,NAMIREMBE,KAMPALA SCH FOR THE PHSICALLY HANDICAPED,Primary only,130222,1969,Government aided,32.557167,0.315943,9,32.557167,0.315943,151,6,6,,17,30,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,7,KAZO ANGOLA,HOLY FAMILY PRIMARY SCHOOL,Primary only,999999,1970,Private,32.55636,0.375353,12,32.55636,0.375353,260,11,9,2,16,4,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,15,MAKINDYE II,"ST. MARYS PRIMARY SCHOOL,SALAAM",Primary only,131066,1971,Private,32.57413,0.285088,7,32.57413,0.285088,128,9,4,,10,2,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,20,OLD KAMPALA,KAMPALA PIMARY SHOOL,Primary only,3117,1972,Government aided,32.568708,0.316323,8,32.568708,0.316323,197,7,7,,11,3,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,11,MAKERERE I,NSANGI P.S,Primary only,130029,1972,Private,32.57056,0.340622,6,32.57056,0.340622,372,8,8,,16,11,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,18,MULAGO III,OLD MULAGO PRIMARY SCHOOL,Primary only,999999,1972,Private,,,,32.5797,0.34858,71,5,3,,5,1,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,23,UPPER ESTATE,KYAMBOGO PRIMARY SCHOOL,Primary only,999999,1974,Government aided,32.62703,0.355,8,32.62703,0.355,450,9,9,,10,4,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,9,KIBUYE I,EMEN MEMORIAL CHOOL,Primary only,130071,1978,Private,,,,32.57519,0.29185,81,11,10,1,11,2,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,1,BUSEGA,MT. CARMEL BUSEGA P.S,Primary only,3377,1979,Private,32.525353,0.306368,7,32.525353,0.306368,190,9,9,,13,4,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,11,MAKERERE I,MAKERERE UNIVERSITY P.S,Primary only,999999,1981,Government aided,32.56975,0.342638,8,32.56975,0.342638,362,7,7,,9,5,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,2,BWAISE II,HAPPY HOURS P.S,Primary only,3134,1982,Private,,,,32.55758,0.3542,370,23,14,5,22,26,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,2,BUZIGA,BUZIGA ISLAMIC THEOLOGICAL INSTITUTE PRIMARY,Primary only,999999,1983,Private,32.6225,0.26062,6,32.6225,0.26062,562,13,13,,27,13,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,15,MAKINDYE II,RAAYAT ISLAMIC P.S,Primary only,130779,1983,Private,32.575372,0.285375,6,32.575372,0.285375,118,10,9,,22,4,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,5,KAWEMPE I,KAWEMPE ISLAMIC SEMINARY PRIMARY SCHOOL,Primary only,999999,1983,Private,32.562158,0.369237,9,32.562158,0.369237,104,7,7,,17,2,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,12,NATEETE,KASANA P.S,Primary only,130198,1984,Private,32.531435,0.301463,11,32.531435,0.301463,30,4,3,1,3,,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,1,BUSEGA,NEW KABALE BUSEGA PRI SCHOOL,Primary only,3380,1984,Private,32.519417,0.312743,13,32.519417,0.312743,293,7,7,,15,8,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,11,NANKULABYE I,KASUBI CHURCH OF GOD P/S,Primary only,130168,1985,Private,32.553683,0.326522,23,32.553683,0.326522,394,10,10,,13,10,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,19,SALAAMA,NAKINYUGUZI PARENTS PRIMARY SCHOOL,Primary only,3222,1986,Private,32.59897,0.269385,9,32.59897,0.269385,99,10,10,,14,3,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,2,KABOWA,TRINITY P.S - KABOWA,Primary only,3386,1986,Private,32.551887,0.28863,12,32.551887,0.28863,684,14,14,,28,7,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,7,MUTUNDWE,LUBIRI P.S,Primary only,130460,1986,Government aided,32.53756,0.292222,6,32.53756,0.292222,286,1,1,,8,2,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,5,LUBYA,BUGOLO JUNIOR SCHOOL,Primary only,3359,1986,Private,32.536698,0.319305,7,32.536698,0.319305,605,8,8,,20,8,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,5,KAMWOKYA II,HORMISDALLEN PRIMARY SCHOOL,Primary only,3083,1986,Private,32.583132,0.341877,12,32.583132,0.341877,1145,21,21,,30,30,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,14,MAKINDYE I,MAKINDYE MOTHER CARE,Primary only,130500,1987,Private,32.584335,0.28859,6,32.584335,0.28859,54,5,5,,5,2,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,9,KIBUYE I,MINAKA KINDERGTTEN,Primary only,130187,1987,Private,,,,32.57933,0.29123,219,7,7,,13,5,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,12,NATEETE,MIREMBE INFANTS PRI SCH,Primary only,3405,1987,Private,32.535413,0.306378,2,32.535413,0.306378,529,14,14,,25,5,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,2,BUGOLOBI,ST. KIZITO P.S,Primary only,3284,1987,Private,32.6266,0.31427,11,32.6266,0.31427,821,35,31,4,34,16,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,1,BWAISE I,ST. KIZITO P.S,Primary only,999999,1987,Private,32.564253,0.355832,10,32.564253,0.355832,75,7,7,,15,8,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,4,KANYANYA,MIREMBE INFANT P.S,Primary only,999999,1987,Private,32.575713,0.376438,8,32.575713,0.376438,13,2,2,,3,2,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,15,MAKINDYE II,BBC P.S,Primary only,3281,1988,Private,32.577978,0.287687,12,32.577978,0.287687,99,10,10,,10,2,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,2,BUZIGA,REACHOUT P.S,Primary only,3225,1989,Private,32.629512,0.246655,6,32.629512,0.246655,50,11,5,6,12,2,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,1,BUSEGA,BUSEGA PREP. P.S,Primary only,3379,1989,Private,32.516008,0.305665,8,32.516008,0.305665,694,10,10,,18,9,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,14,MENGO,EAGLETS P/S,Primary only,3105,1989,Private,,,,32.56749,0.30589,265,7,7,,12,5,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,12,NATEETE,NATEETE MUSLIM PRIMARY SCH,Primary only,3404,1989,Government aided,32.536967,0.30724,9,32.536967,0.30724,369,7,7,,9,4,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,15,MUTUNGO,REV. JOHN FOUNDATION,Primary only,3324,1989,Private,32.63578,0.315857,7,32.63578,0.315857,165,11,9,2,15,7,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,18,MULAGO III,GOD WINS PRIMARY SCHOOL,Primary only,999999,1989,Private,32.571937,0.349123,11,32.571937,0.349123,188,7,7,,8,6,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,4,LUBAGA,HAPPY YEARS P/S,Primary only,130200,1990,Private,32.55227,0.295095,10,32.55227,0.295095,520,18,18,,23,13,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,11,KISUGU,KISUGU ISLAMIC SCHOOL,Primary only,3212,1990,Private,32.604873,0.311412,19,32.604873,0.311412,284,7,7,,32,5,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,2,BUGOLOBI,BETHEL ROCK COMMUNITY SCHOOL,Primary only,999999,1990,Private,32.623003,0.31564,10,32.623003,0.31564,149,8,8,,10,2,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,5,LUBYA,STANDARD PARENTS NAMUNGOONA P.S,Primary only,130158,1990,Private,32.538755,0.341969,24,32.538755,0.341969,118,7,7,,10,1,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,17,MULAGO II,MULAGO PRIVATE P.S,Primary only,130311,1990,Private,32.57454,0.345468,7,32.57454,0.345468,179,9,9,,17,7,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,7,KAZO ANGOLA,KAZO  ISLAMIC CENTRE DAY & BOARDING P.S,Primary only,130824,1990,Private,32.555487,0.362225,7,32.555487,0.362225,196,15,9,,21,6,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,3,GGABA,AFRICAN CHILD PRIMARY SCHOOL,Primary only,3190,1991,Private,32.634961,0.254855,20,32.634961,0.254855,82,9,9,,10,3,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,9,NAJJANANKUMBI II,CARDINAL NSUBUGA MEM. P.S,Primary only,999999,1991,Private,32.565518,0.28962,5,32.565518,0.28962,173,7,7,,13,16,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,4,LUBAGA,CRANE EDUCATION CENTRE,Primary only,130207,1991,Private,32.542403,0.29935,9,32.542403,0.29935,182,7,7,,11,4,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,1,BUKASA,ST. HENRYS'MUYENGE PRIMARY SCHOOL,Primary only,130077,1991,Private,32.61684,0.301163,9,32.61684,0.301163,172,9,8,1,11,4,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,11,NANKULABYE I,OUR LADY OF FATIMA P/S,Primary only,3369,1991,Private,32.560315,0.329697,26,32.560315,0.329697,323,7,7,,14,6,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,11,KOLOLO II,SUMMIT VIEW ARMY PRIMARY SCHOOL,Primary only,3099,1991,Government aided,,,,32.59335,0.33338,400,7,7,,15,3,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,3,KASUBI,REAL PRIMARY SCHOOL,Primary only,3345,1991,Private,32.551787,0.335568,12,32.551787,0.335568,153,7,7,,9,3,record
